83942852253.14597,75977708440.69234,79967884582.93045,63639770789.37472,78694792583.98805,51837189510.22659,74232976289.08565,61520652372.64226,61181906603.04915,44279922059.754944,71757576112.8876,88042168091.00168,72323775590.05432,88728564345.47026,57610721526.90081,91571516532.5625,60216977680.006004,56656372974.91206,81893300800.86961,76158906308.46457,61046535101.31952
65236039698.09027,71704223986.74225,97169361389.88065,72191068017.57184,44883361067.810715,58332561470.55168,47886423443.46519,80157271953.06528,81930144949.38326,79957749872.03284,48292174390.087006,78050226177.86765,86002916989.23972,44724637316.72805,83752115693.1876,75763347756.76567,59570407303.1819,46607793634.74942,89538311642.56047,67300778140.152054,43633691996.83118
64374513993.36117,84515364417.99525,56037707224.83474,42491499444.17624,53231619643.48733,57154321961.19757,67124581549.21569,86236945722.80739,66367398476.370056,84055634195.64784,90465415602.06369,79827065959.77588,80823398290.92798,53277767092.241714,97325911901.97026,49237295671.48775,85610148354.14891,46688540692.33352,85027297983.54309,52599252831.238266,82026692366.82741
79349304803.9119,92064019269.78111,95959286780.62582,69192879019.67403,81351015907.17436,84085816466.88293,60684074562.928024,58599853682.62558,78949669323.26482,77402859766.08673,58388001976.89588,73055253932.62871,63639258721.923134,90042488621.90018,70788229539.70175,97436629219.41412,62935236077.79287,83204354267.27406,64135405302.06701,63798266480.9435,68404306771.30664
57018784671.42575,57455577704.44794,84390778540.13402,84600625681.01042,68761652892.64565,54462705254.90065,82781308651.10678,78229919508.15999,56331547223.83683,48241452655.47773,74447483925.46553,88984223977.2884,46447607367.9284,48863034442.36816,82596627462.03528,91143959550.75748,82760881581.97552,47693156898.549484,59077595213.622345,48908762335.12572,88790413767.58185
58500316462.378365,72008177255.25977,80333362831.11906,86457865469.6769,47159374641.17686,55209030148.8111,92019027193.17685,90400040908.82993,68240589632.78003,85488903494.91302,64113748356.96466,66066012802.572655,68052810927.85735,84664154320.28334,49563066877.35142,86660658494.56284,97446751934.07365,79703503313.06398,94751380851.61473,81588572866.71054,64461905267.52636
59486184376.18826,61249861981.83723,72472027854.40916,49315825893.08238,49421381518.1535,89643142733.27986,45288625523.57987,48664066894.66142,96259227641.8301,52245626057.233925,58200520120.80145,51123245782.695435,93300880443.0768,52453430764.92339,72222614005.41055,74116994129.45326,76385631306.3907,70726392489.02739,52573671618.48795,49247776989.97066,54666956814.308464
80168392147.69847,75747236841.86882,63792821699.77723,65011964924.890526,60839798388.36776,74959794231.43863,89434230058.35541,78707362189.65422,83050469568.04112,74724664146.94986,93944513292.36232,72657208129.58136,64322359199.70476,75819065798.29358,67553186586.78931,77061635694.69014,78941638350.59164,52697254884.56893,97069964376.24402,95746625251.09872,70073019057.00383
73488179402.48076,70052296742.63875,66344449518.656586,92586737295.04532,57735709003.14554,45059608230.322075,97786823263.0086,94697612696.10684,44596120469.92877,53910448796.9028,88036322243.31384,59158182442.79267,60374124683.96267,94690159040.77612,59142234602.58264,51012213449.057556,96467829637.41022,69505782972.11961,68114125177.55121,80628333573.1048,44109320493.57917
50567260940.853294,69259539490.73637,49450748736.08777,69544692994.91444,47478823530.154144,52009911881.565575,63976286816.04705,83176468670.75856,61427321467.362946,94383283392.54752,91399365709.38483,89698298127.97418,44572023679.285446,47849862981.17177,89766127877.88373,69268424941.92291,58340116305.43903,79878002669.10623,96401682139.72148,82077899342.89487,83132076089.13496
